Date,Low,Open,Volume,High,Close,Adjusted Close
14-12-2021,565.5499877929688,600.0,13930950,615.0,583.5499877929688,569.4139404296875
15-12-2021,578.0,585.0,1337812,598.7999877929688,584.9500122070312,570.780029296875
16-12-2021,566.0999755859375,586.0,664868,594.5,570.9000244140625,557.0704345703125
17-12-2021,564.9500122070312,570.7999877929688,664213,578.9500122070312,568.75,554.9724731445312
20-12-2021,542.5999755859375,555.0,790254,560.6500244140625,551.5499877929688,538.1891479492188
21-12-2021,552.0,552.0,571786,578.4000244140625,574.6500244140625,560.7296142578125
22-12-2021,570.0,570.0,302623,588.9500122070312,580.5,566.4378051757812
23-12-2021,570.0499877929688,580.5,205315,587.0,576.0999755859375,562.1444091796875
24-12-2021,565.5999755859375,574.0999755859375,148467,577.2999877929688,571.4000244140625,557.5582885742188
27-12-2021,563.0999755859375,563.0999755859375,218861,572.9500122070312,571.4500122070312,557.6071166992188
28-12-2021,567.0,572.0,235878,578.0,572.0499877929688,558.1925659179688
29-12-2021,568.2000122070312,570.0999755859375,373429,602.0499877929688,583.1500244140625,569.023681640625
30-12-2021,580.1500244140625,580.1500244140625,637277,605.0,585.75,571.5606689453125
31-12-2021,585.0,587.9500122070312,383891,606.0,588.5,574.2440795898438
03-01-2022,592.0499877929688,595.0,1123074,642.5,632.75,617.422119140625
04-01-2022,618.3499755859375,629.7000122070312,943975,654.0,639.7999877929688,624.3013916015625
05-01-2022,631.4000244140625,635.9000244140625,345322,648.5,637.0999755859375,621.6666870117188
06-01-2022,624.0,634.9000244140625,300674,642.0,634.7000122070312,619.3248901367188
07-01-2022,608.0,646.0,949045,649.0,619.4500122070312,604.4442749023438
10-01-2022,597.0499877929688,610.0999755859375,1185655,644.4000244140625,629.2999877929688,614.0556640625
11-01-2022,619.0,629.7000122070312,378459,640.75,626.0,610.835693359375
12-01-2022,610.0999755859375,630.7000122070312,161687,634.9000244140625,618.4500122070312,603.4685668945312
13-01-2022,613.7999877929688,623.4500122070312,353212,627.9000244140625,619.9000244140625,604.8834838867188
14-01-2022,616.5499877929688,623.9000244140625,166453,629.0,622.9500122070312,607.8594970703125
