Date,Low,Open,Volume,High,Close,Adjusted Close
08-03-2019,590.9500122070312,590.9500122070312,24807,620.4500122070312,620.4500122070312,620.4500122070312
11-03-2019,651.4500122070312,651.4500122070312,9422,651.4500122070312,651.4500122070312,651.4500122070312
12-03-2019,684.0,684.0,6509,684.0,684.0,684.0
13-03-2019,718.2000122070312,718.2000122070312,866409,718.2000122070312,718.2000122070312,718.2000122070312
14-03-2019,754.0999755859375,754.0999755859375,5150,754.0999755859375,754.0999755859375,754.0999755859375
15-03-2019,791.7999877929688,791.7999877929688,11767,791.7999877929688,791.7999877929688,791.7999877929688
18-03-2019,831.3499755859375,831.3499755859375,5428,831.3499755859375,831.3499755859375,831.3499755859375
19-03-2019,872.9000244140625,872.9000244140625,4300,872.9000244140625,872.9000244140625,872.9000244140625
20-03-2019,916.5,916.5,38502,916.5,916.5,916.5
22-03-2019,962.2999877929688,962.2999877929688,29736,962.2999877929688,962.2999877929688,962.2999877929688
25-03-2019,971.2999877929688,1024.0,3424593,1058.5,1058.5,1058.5
26-03-2019,1001.3499755859375,1067.0,795748,1089.699951171875,1017.4000244140625,1017.4000244140625
27-03-2019,995.0,1013.0,284798,1035.0999755859375,1004.1500244140625,1004.1500244140625
28-03-2019,995.6500244140625,1004.9000244140625,167666,1026.0,1021.75,1021.75
01-04-2019,1028.0,1045.0,165398,1055.0,1040.75,1040.75
02-04-2019,1031.800048828125,1041.0,109310,1051.449951171875,1047.949951171875,1047.949951171875
03-04-2019,998.0,1045.0,330147,1045.9000244140625,1002.0499877929688,1002.0499877929688
04-04-2019,972.4500122070312,1010.0,94286,1010.0,987.9000244140625,987.9000244140625
05-04-2019,952.0999755859375,996.0,141506,996.0,976.2000122070312,976.2000122070312
08-04-2019,960.0,970.0,54084,987.0,968.75,968.75
09-04-2019,960.0,964.5,52927,974.0,968.5499877929688,968.5499877929688
10-04-2019,962.0,962.0999755859375,57945,977.0,969.9000244140625,969.9000244140625
11-04-2019,967.1500244140625,972.9000244140625,63979,991.75,975.0,975.0
12-04-2019,966.4500122070312,972.1500244140625,99047,983.2000122070312,969.9500122070312,969.9500122070312
15-04-2019,948.0,970.0,28220,975.0,955.0999755859375,955.0999755859375
16-04-2019,939.6500244140625,960.0,59604,965.0999755859375,958.1500244140625,958.1500244140625
18-04-2019,952.0,959.0,46983,965.0,960.9500122070312,960.9500122070312
22-04-2019,958.4000244140625,960.0,40770,972.75,960.3499755859375,960.3499755859375
23-04-2019,951.0,960.3499755859375,100401,987.0,962.25,962.25
24-04-2019,956.0999755859375,957.0,39474,970.0,959.9500122070312,959.9500122070312
25-04-2019,958.0,964.0,34780,968.0,965.0999755859375,965.0999755859375
26-04-2019,962.5,965.0,37680,983.9500122070312,971.4000244140625,971.4000244140625
30-04-2019,965.0,972.0,195251,1018.9000244140625,1000.2999877929688,1000.2999877929688
02-05-2019,983.0,983.0,46232,1009.7999877929688,995.5999755859375,995.5999755859375
03-05-2019,990.0,990.0,292324,1005.0999755859375,1000.0499877929688,1000.0499877929688
06-05-2019,983.2000122070312,1000.0,47421,1000.0,991.5999755859375,991.5999755859375
07-05-2019,991.0499877929688,999.7999877929688,81738,999.7999877929688,995.0999755859375,995.0999755859375
08-05-2019,970.0999755859375,982.7999877929688,43782,994.9500122070312,980.25,980.25
09-05-2019,969.2000122070312,980.25,26057,987.8499755859375,980.8499755859375,980.8499755859375
10-05-2019,962.4500122070312,980.7999877929688,121328,984.9000244140625,966.75,966.75
13-05-2019,955.2999877929688,970.0,132469,973.8499755859375,963.1500244140625,963.1500244140625
14-05-2019,945.0,967.1500244140625,152291,969.1500244140625,951.5,951.5
