Date,Low,Open,Volume,High,Close,Adjusted Close
22-02-2021,494.5,495.04998779296875,8235,600.0,494.75,492.62872314453125
23-02-2021,431.25,495.1499938964844,2543,496.0,489.45001220703125,487.3514709472656
24-02-2021,477.0,496.1499938964844,981,496.1499938964844,477.0,474.9548645019531
25-02-2021,478.0,478.79998779296875,440,479.04998779296875,478.0,475.9505615234375
26-02-2021,477.6499938964844,478.0,532,478.1499938964844,477.70001220703125,475.65185546875
01-03-2021,402.0,420.20001220703125,1271,455.1499938964844,438.29998779296875,436.4207458496094
02-03-2021,411.25,513.5,11385,513.5,419.1000061035156,417.3031005859375
03-03-2021,411.45001220703125,419.04998779296875,6556,419.04998779296875,414.8500061035156,413.0713195800781
04-03-2021,402.54998779296875,413.95001220703125,1123,414.8500061035156,414.79998779296875,413.0215148925781
05-03-2021,394.95001220703125,414.79998779296875,44280,414.79998779296875,395.75,394.05322265625
08-03-2021,383.29998779296875,398.0,52067,398.0,389.0,387.3321533203125
09-03-2021,351.25,390.45001220703125,9558,391.0,371.25,369.6582336425781
10-03-2021,369.8500061035156,385.0,2195,390.0,388.75,387.0832214355469
12-03-2021,356.54998779296875,388.04998779296875,6690,390.0,365.0,363.43505859375
15-03-2021,340.1000061035156,372.70001220703125,4173,378.29998779296875,369.6000061035156,368.01531982421875
16-03-2021,369.8500061035156,369.8500061035156,2186,390.0,386.6499938964844,384.9922180175781
17-03-2021,368.0,390.0,3212,390.0,388.95001220703125,387.2823791503906
18-03-2021,355.75,405.0,11717,425.0,378.25,376.6282653808594
19-03-2021,369.0,369.0,45373,453.8999938964844,423.29998779296875,421.4850769042969
22-03-2021,436.0,459.0,70172,507.95001220703125,507.95001220703125,505.7721862792969
23-03-2021,406.3999938964844,465.0,146006,495.0,440.0,438.1134948730469
24-03-2021,432.04998779296875,447.0,13221,474.95001220703125,438.54998779296875,436.669677734375
25-03-2021,412.6499938964844,438.54998779296875,5939,442.70001220703125,418.8999938964844,417.1039733886719
26-03-2021,416.0,416.0,127641,469.95001220703125,428.0,426.1649475097656
30-03-2021,425.20001220703125,429.0,3681,444.3500061035156,431.79998779296875,429.9486389160156
31-03-2021,360.29998779296875,443.95001220703125,41910,443.95001220703125,427.6000061035156,425.7666320800781
01-04-2021,416.0,425.0,81372,435.0,429.70001220703125,427.857666015625
05-04-2021,422.1000061035156,424.29998779296875,1961,435.0,427.95001220703125,426.11517333984375
06-04-2021,425.3500061035156,435.0,76601,507.0,476.54998779296875,474.50677490234375
07-04-2021,445.20001220703125,484.0,50722,485.0,450.1499938964844,448.2199401855469
08-04-2021,422.6000061035156,453.79998779296875,365696,485.0,426.1000061035156,424.2730712890625
09-04-2021,408.95001220703125,429.75,18238,431.6499938964844,416.1000061035156,414.31597900390625
12-04-2021,392.6499938964844,415.0,8806,415.0,401.6499938964844,399.92791748046875
13-04-2021,390.0,402.79998779296875,5386,409.3500061035156,395.8500061035156,394.1528015136719
15-04-2021,390.29998779296875,409.8999938964844,113696,424.70001220703125,419.20001220703125,417.4026794433594
16-04-2021,406.20001220703125,421.0,2203,425.04998779296875,418.25,416.4567565917969
19-04-2021,403.0,403.04998779296875,2311,429.95001220703125,411.29998779296875,409.5364990234375
20-04-2021,406.95001220703125,427.0,3975,435.0,410.8999938964844,409.13824462890625
22-04-2021,395.0,412.0,4214,419.79998779296875,395.79998779296875,394.10296630859375
23-04-2021,390.0,414.25,135914,425.0,410.79998779296875,409.0386657714844
26-04-2021,409.75,411.54998779296875,187641,473.0,452.3500061035156,450.4105529785156
27-04-2021,438.0,473.5,46734,480.0,443.45001220703125,441.5487060546875
28-04-2021,427.95001220703125,443.29998779296875,45990,473.8999938964844,461.5,459.52130126953125
29-04-2021,421.25,495.0,241298,495.0,432.5,430.6456298828125
30-04-2021,405.0,426.0,39606,426.0,410.6000061035156,408.83953857421875
03-05-2021,377.0,396.0,75794,431.5,379.70001220703125,378.072021484375
04-05-2021,354.04998779296875,389.70001220703125,69740,389.79998779296875,358.1000061035156,356.56463623046875
05-05-2021,340.0,359.70001220703125,57428,374.1499938964844,344.20001220703125,342.7242431640625
06-05-2021,314.6499938964844,344.20001220703125,54679,348.0,321.8500061035156,320.4700622558594
07-05-2021,261.0,327.8999938964844,186405,345.0,305.3999938964844,304.090576171875
10-05-2021,293.3500061035156,310.70001220703125,29802,317.0,304.6000061035156,303.29400634765625
11-05-2021,274.6000061035156,304.6000061035156,69274,316.0,284.04998779296875,282.83209228515625
12-05-2021,272.0,289.75,42827,299.0,282.79998779296875,281.58746337890625
14-05-2021,269.95001220703125,283.0,48941,289.75,270.95001220703125,269.7882995605469
17-05-2021,240.35000610351562,269.95001220703125,307701,271.95001220703125,244.64999389648438,243.60104370117188
18-05-2021,220.1999969482422,244.64999389648438,399969,244.64999389648438,220.25,219.30567932128906
19-05-2021,202.35000610351562,217.9499969482422,885687,242.25,242.25,241.2113494873047
20-05-2021,256.1000061035156,263.6000061035156,92796,266.45001220703125,266.45001220703125,265.3076171875
21-05-2021,270.0,289.0,364013,293.04998779296875,292.8999938964844,291.6441650390625
24-05-2021,278.3500061035156,308.3500061035156,224062,314.8999938964844,295.1000061035156,293.83477783203125
25-05-2021,283.54998779296875,298.8999938964844,91601,300.8999938964844,288.45001220703125,287.2132568359375
26-05-2021,275.0,288.0,33282,291.95001220703125,283.6000061035156,282.3840637207031
27-05-2021,272.6000061035156,272.6000061035156,149640,291.0,285.6499938964844,284.4252624511719
28-05-2021,275.04998779296875,285.6499938964844,46477,289.95001220703125,281.1000061035156,279.8948059082031
31-05-2021,273.3999938964844,281.04998779296875,74830,281.1499938964844,278.1499938964844,276.9574279785156
01-06-2021,278.1499938964844,278.1499938964844,33714,292.04998779296875,291.8999938964844,290.6484680175781
02-06-2021,277.6499938964844,293.5,34784,295.0,283.3500061035156,282.1351318359375
03-06-2021,280.54998779296875,285.3500061035156,31907,289.45001220703125,286.25,285.022705078125
04-06-2021,282.54998779296875,294.25,69197,300.54998779296875,296.8999938964844,295.6270446777344
07-06-2021,294.04998779296875,308.8500061035156,51531,308.8500061035156,299.70001220703125,298.4150390625
08-06-2021,296.1499938964844,300.0,37310,304.45001220703125,301.29998779296875,300.0081481933594
09-06-2021,295.5,303.75,49802,309.0,299.6499938964844,298.365234375
10-06-2021,293.6000061035156,299.6000061035156,6631,303.0,296.70001220703125,295.4278869628906
11-06-2021,293.8999938964844,296.70001220703125,7595,299.6000061035156,295.6499938964844,294.38238525390625
14-06-2021,284.04998779296875,297.95001220703125,45805,305.1499938964844,298.95001220703125,297.6682434082031
15-06-2021,295.04998779296875,305.0,7492,305.0,296.3500061035156,295.0793762207031
16-06-2021,294.45001220703125,298.04998779296875,40071,301.1000061035156,296.8500061035156,295.5772399902344
17-06-2021,293.70001220703125,296.6499938964844,45714,305.0,299.8999938964844,298.6141662597656
18-06-2021,284.95001220703125,301.8500061035156,52802,308.0,303.1499938964844,301.8502197265625
21-06-2021,295.8500061035156,303.0,63220,314.6000061035156,309.8999938964844,308.5712585449219
22-06-2021,312.95001220703125,313.70001220703125,56644,322.95001220703125,316.95001220703125,315.591064453125
23-06-2021,312.5,312.5,25484,321.95001220703125,317.75,316.38763427734375
24-06-2021,313.25,319.29998779296875,27981,321.1499938964844,317.04998779296875,315.6906433105469
25-06-2021,310.5,314.1000061035156,27592,319.8999938964844,317.1000061035156,315.74041748046875
28-06-2021,317.79998779296875,322.0,91893,332.95001220703125,330.20001220703125,328.7842712402344
29-06-2021,327.6499938964844,339.8999938964844,85099,344.95001220703125,339.20001220703125,337.74566650390625
30-06-2021,325.3500061035156,325.3500061035156,39126,355.5,352.6499938964844,351.13800048828125
01-07-2021,363.70001220703125,367.0,88204,370.25,370.20001220703125,368.6127624511719
02-07-2021,387.5,388.70001220703125,22069,388.70001220703125,388.70001220703125,387.033447265625
05-07-2021,395.29998779296875,408.1000061035156,81997,408.1000061035156,408.0,406.25067138671875
06-07-2021,387.6000061035156,406.0,246702,406.79998779296875,397.20001220703125,395.49700927734375
07-07-2021,381.0,390.0,20534,406.3999938964844,393.6000061035156,391.9124450683594
08-07-2021,393.04998779296875,405.0,39056,413.25,401.8999938964844,400.17681884765625
09-07-2021,400.5,401.8999938964844,22339,412.0,408.5,406.74853515625
12-07-2021,400.1499938964844,412.0,94930,423.79998779296875,413.3999938964844,411.6275329589844
13-07-2021,415.0,419.95001220703125,85945,434.04998779296875,434.04998779296875,432.1889953613281
14-07-2021,439.29998779296875,447.0,55948,455.75,455.75,453.7959289550781
15-07-2021,440.0,458.0,160348,474.79998779296875,456.8500061035156,454.8912353515625
16-07-2021,439.0,465.8999938964844,60080,470.0,459.95001220703125,457.97796630859375
19-07-2021,443.6499938964844,459.29998779296875,32045,472.0,454.79998779296875,452.85003662109375
20-07-2021,445.0,450.04998779296875,52087,468.0,465.25,463.2552185058594
22-07-2021,452.70001220703125,474.6000061035156,167826,474.6000061035156,458.20001220703125,456.2354431152344
23-07-2021,444.04998779296875,451.0,107701,469.20001220703125,465.70001220703125,463.70330810546875
26-07-2021,464.8500061035156,466.0,29915,485.0,479.70001220703125,477.6432800292969
27-07-2021,478.20001220703125,490.0,114166,494.3999938964844,485.54998779296875,483.4681701660156
28-07-2021,495.0,495.0,45998,509.79998779296875,509.79998779296875,507.61419677734375
29-07-2021,511.0,535.25,105670,535.25,535.25,532.955078125
30-07-2021,532.9500122070312,555.0,50833,561.9500122070312,554.7999877929688,552.4212646484375
02-08-2021,555.0,571.9000244140625,50694,582.5,579.9000244140625,577.4136962890625
03-08-2021,561.7000122070312,590.0,70901,607.0,598.9000244140625,596.3322143554688
04-08-2021,569.0,615.0,89901,615.0,576.5,574.0282592773438
05-08-2021,547.7000122070312,576.5,91744,576.5,562.0999755859375,559.68994140625
06-08-2021,537.1500244140625,571.0,37316,587.5999755859375,574.4000244140625,571.9373168945312
09-08-2021,558.75,579.9500122070312,38370,594.0,567.5999755859375,565.1663818359375
10-08-2021,550.0,574.7999877929688,39027,574.7999877929688,554.25,551.8736572265625
11-08-2021,535.1500244140625,542.0,57743,574.0,552.5,550.131103515625
12-08-2021,555.0,567.0,66446,580.0999755859375,580.0999755859375,577.61279296875
13-08-2021,609.0999755859375,609.0999755859375,23875,609.0999755859375,609.0999755859375,606.4884643554688
16-08-2021,615.0,639.5499877929688,131652,639.5499877929688,639.5499877929688,636.8079223632812
17-08-2021,622.0499877929688,650.0,80995,670.0,638.7999877929688,636.0610961914062
18-08-2021,629.0,630.0,18616,655.0,645.3499755859375,642.5830688476562
20-08-2021,615.0,615.0,24494,638.0,628.6500244140625,625.9546508789062
23-08-2021,597.25,644.7999877929688,209872,644.7999877929688,620.0999755859375,617.4412231445312
24-08-2021,607.0999755859375,607.0999755859375,176617,640.0,627.0,624.3117065429688
25-08-2021,615.0,615.0,35850,648.2999877929688,641.4500122070312,638.6997680664062
26-08-2021,625.0499877929688,648.0,134312,666.9000244140625,655.3499755859375,652.5401611328125
27-08-2021,648.1500244140625,653.0,139445,680.0,674.0999755859375,671.209716796875
30-08-2021,675.5,675.5,48061,707.7999877929688,707.7999877929688,704.7652587890625
31-08-2021,720.4500122070312,735.0,84959,743.1500244140625,743.1500244140625,739.9637451171875
01-09-2021,733.5,760.0,101206,780.2999877929688,777.2999877929688,773.96728515625
02-09-2021,760.0,777.7000122070312,103530,816.1500244140625,809.7000122070312,806.2283935546875
03-09-2021,802.0,848.7999877929688,58539,848.7999877929688,814.0,810.5099487304688
06-09-2021,795.1500244140625,801.2000122070312,30167,825.75,817.2999877929688,813.7957763671875
07-09-2021,815.0,821.0,46059,828.6500244140625,820.8499755859375,817.33056640625
08-09-2021,810.0999755859375,827.7999877929688,23521,831.6500244140625,818.7000122070312,815.1898193359375
09-09-2021,810.2000122070312,829.0,12868,829.0,818.1500244140625,814.6421508789062
