Date,Low,Open,Volume,High,Close,Adjusted Close
24-12-2021,743.8499755859375,856.0499877929688,13492548,864.0,755.0,752.2409057617188
27-12-2021,702.3499755859375,738.5,2137929,741.7000122070312,705.75,703.1708984375
28-12-2021,702.0,705.75,1586404,748.0,734.5999755859375,731.9154663085938
29-12-2021,740.2000122070312,748.0,5408945,824.0,787.25,784.373046875
30-12-2021,772.0499877929688,792.4500122070312,1904086,814.0,778.2999877929688,775.4557495117188
31-12-2021,756.0999755859375,783.75,980471,793.0499877929688,759.9000244140625,757.123046875
03-01-2022,757.6500244140625,764.0,773259,782.9000244140625,773.5499877929688,770.7230834960938
04-01-2022,753.25,778.5,448706,783.8499755859375,758.3499755859375,755.5786743164062
05-01-2022,740.5,760.0,953044,789.0,772.3499755859375,769.5274658203125
06-01-2022,758.2000122070312,759.9500122070312,276248,774.0,761.3499755859375,758.5676879882812
07-01-2022,739.25,766.7000122070312,425068,769.0,740.6500244140625,737.943359375
10-01-2022,741.9500122070312,746.9000244140625,561329,774.9000244140625,759.5999755859375,756.8240966796875
11-01-2022,748.75,759.0,564979,782.5,763.2999877929688,760.5105590820312
12-01-2022,750.0,770.0,232552,776.5999755859375,753.9500122070312,751.1947631835938
13-01-2022,743.4500122070312,760.0,189888,760.0,746.0,743.2738037109375
14-01-2022,735.0499877929688,748.0,322468,764.4000244140625,738.5999755859375,735.9008178710938
17-01-2022,742.4500122070312,750.0,2841269,834.0,814.4000244140625,811.4238891601562
18-01-2022,772.5499877929688,821.6500244140625,823370,824.5,780.0499877929688,777.1993408203125
19-01-2022,756.4000244140625,780.0,812554,812.2999877929688,795.0999755859375,792.1943359375
20-01-2022,775.5,792.0,381920,806.0,783.3499755859375,780.4873046875
21-01-2022,748.5999755859375,784.0,529262,804.0,758.75,755.9772338867188
24-01-2022,706.0,755.0,471275,765.0,720.4500122070312,717.8171997070312
25-01-2022,705.5999755859375,718.0,298283,757.5,735.9000244140625,733.2107543945312
27-01-2022,715.0,722.0,185855,738.9000244140625,717.6500244140625,715.0274047851562
28-01-2022,724.0,726.0,771322,776.9500122070312,741.3499755859375,738.6407470703125
31-01-2022,711.0499877929688,748.9000244140625,275063,755.0,721.7999877929688,719.1622314453125
01-02-2022,726.0,727.5999755859375,201773,748.0,732.5999755859375,729.9227294921875
02-02-2022,713.3499755859375,737.9000244140625,429933,753.8499755859375,720.8499755859375,718.2156982421875
03-02-2022,722.8499755859375,724.0,251681,743.9000244140625,737.0999755859375,734.4063110351562
04-02-2022,728.4500122070312,739.9500122070312,125290,744.0999755859375,731.0499877929688,728.37841796875
07-02-2022,709.5499877929688,725.0999755859375,193955,737.2000122070312,714.3499755859375,711.7394409179688
08-02-2022,694.8499755859375,719.0,161360,726.4500122070312,704.0,701.4273071289062
09-02-2022,700.2000122070312,717.7999877929688,365106,729.9500122070312,718.2999877929688,715.6749877929688
10-02-2022,714.0,725.0,128661,731.4000244140625,718.7999877929688,716.1732177734375
11-02-2022,710.0999755859375,711.0,215967,726.0,713.25,710.6434936523438
14-02-2022,639.0499877929688,690.5,368995,712.0,650.0499877929688,647.6744384765625
15-02-2022,630.25,652.0999755859375,470238,685.0,679.2999877929688,676.8175659179688
16-02-2022,671.25,696.0,117711,696.0,677.5499877929688,675.0739135742188
17-02-2022,660.0,680.0,113764,684.8499755859375,664.5999755859375,662.1712646484375
18-02-2022,645.0499877929688,660.0,111159,672.7999877929688,649.0999755859375,646.7279052734375
21-02-2022,611.0,640.0,180059,646.8499755859375,620.5499877929688,618.2822265625
22-02-2022,584.25,608.9000244140625,291970,608.9000244140625,597.5999755859375,595.4160766601562
23-02-2022,604.0,604.0,117971,624.7999877929688,615.0,612.7525024414062
24-02-2022,575.0,578.2999877929688,214539,594.2000122070312,585.3499755859375,583.2108764648438
25-02-2022,597.6500244140625,599.9500122070312,164327,619.5,607.9000244140625,605.6785278320312
28-02-2022,591.25,598.0,195975,623.9500122070312,613.5499877929688,611.3078002929688
02-03-2022,603.9500122070312,610.0,431871,668.7999877929688,662.4500122070312,660.0291137695312
03-03-2022,635.25,674.2999877929688,184980,679.7000122070312,640.75,638.408447265625
04-03-2022,615.0,638.0,162100,646.0,622.9000244140625,620.6236572265625
07-03-2022,604.5999755859375,614.0,165831,633.4500122070312,620.0999755859375,617.8338623046875
08-03-2022,620.0999755859375,628.0499877929688,230165,650.4500122070312,642.7999877929688,640.450927734375
09-03-2022,643.0,643.0,463408,720.0,713.0999755859375,710.4940185546875
10-03-2022,665.2000122070312,720.0,448415,735.2000122070312,670.5499877929688,668.0994873046875
11-03-2022,656.8499755859375,670.0,286572,688.0,663.2999877929688,660.8760375976562
14-03-2022,648.9500122070312,668.0,181529,675.7999877929688,655.2999877929688,652.9052734375
15-03-2022,656.0,660.0,229276,680.6500244140625,663.3499755859375,660.9258422851562
16-03-2022,666.3499755859375,674.9000244140625,149355,692.9500122070312,674.0,671.5369262695312
