Date,Low,Open,Volume,High,Close,Adjusted Close
01-07-2002,161.5,163.5,3334232.0,165.5,164.0,112.88054656982422
02-07-2002,158.5,161.5,3736040.0,162.5,160.5,110.4715576171875
03-07-2002,158.5,158.5,8455624.0,173.5,172.0,118.38692474365234
04-07-2002,167.5,173.5,7633492.0,174.5,168.5,115.9779052734375
05-07-2002,169.0,169.5,16311860.0,183.5,182.0,125.26986694335938
08-07-2002,183.0,187.0,14394784.0,193.0,190.0,130.7762451171875
09-07-2002,182.0,187.0,10068416.0,191.0,183.5,126.30231475830078
10-07-2002,183.5,186.0,14230072.0,191.0,187.0,128.71136474609375
11-07-2002,168.5,184.5,17131800.0,186.0,173.0,119.07524108886719
12-07-2002,177.5,182.0,18326984.0,188.5,184.5,126.99060821533203
15-07-2002,175.0,186.0,11700556.0,186.0,178.0,122.51671600341797
16-07-2002,171.5,178.5,12064628.0,179.0,174.5,120.107666015625
17-07-2002,170.5,173.0,12187800.0,182.5,178.0,122.51671600341797
18-07-2002,180.5,182.5,10429272.0,186.5,185.5,127.67892456054688
19-07-2002,170.0,182.5,10935064.0,183.5,173.5,119.41934967041016
22-07-2002,166.5,168.5,18073156.0,177.5,173.0,119.07524108886719
23-07-2002,169.5,172.0,23404788.0,187.5,186.0,128.0230712890625
24-07-2002,174.5,180.0,17148420.0,183.0,177.5,122.1725845336914
25-07-2002,180.5,184.5,24045708.0,192.0,186.5,128.36720275878906
26-07-2002,175.0,177.5,16045348.0,183.5,179.0,123.20499420166016
29-07-2002,175.5,177.5,15039216.0,183.5,181.5,124.92569732666016
30-07-2002,173.0,185.5,16598920.0,188.0,176.0,121.14009857177734
31-07-2002,145.0,174.5,38187160.0,185.0,174.5,120.107666015625
01-08-2002,166.5,179.0,24704936.0,182.0,174.0,119.7635269165039
02-08-2002,162.0,168.5,23493364.0,181.0,173.0,119.07524108886719
05-08-2002,172.0,176.0,20725352.0,182.0,179.0,123.20499420166016
06-08-2002,171.0,173.0,20323772.0,183.0,181.0,124.58154296875
07-08-2002,176.0,186.0,23156140.0,186.0,178.5,122.86087036132812
08-08-2002,171.0,178.5,16075340.0,179.5,173.0,119.07524108886719
09-08-2002,174.0,176.5,15388448.0,181.5,180.0,123.89331817626953
12-08-2002,176.0,177.5,12032560.0,182.5,181.0,124.58154296875
13-08-2002,179.5,180.0,13996720.0,188.5,187.5,129.05552673339844
14-08-2002,182.5,184.5,16446348.0,188.0,186.0,128.0230712890625
15-08-2002,186.0,186.0,0.0,186.0,186.0,128.0230712890625
16-08-2002,184.0,187.5,10419084.0,188.5,186.0,128.0230712890625
19-08-2002,183.5,186.0,7771092.0,187.0,185.0,127.33474731445312
20-08-2002,185.5,187.0,15519020.0,194.0,192.5,132.49697875976562
21-08-2002,187.5,188.0,15838040.0,193.5,190.5,131.12042236328125
22-08-2002,182.5,190.5,11978200.0,192.0,184.0,126.6464614868164
23-08-2002,184.0,184.5,58642920.0,209.0,205.5,141.44485473632812
26-08-2002,190.0,202.5,24429516.0,203.5,193.0,132.84112548828125
27-08-2002,185.0,193.0,21222312.0,197.0,187.0,128.71136474609375
28-08-2002,184.5,184.5,21087092.0,191.0,187.5,129.05552673339844
29-08-2002,186.0,187.5,19465708.0,193.0,190.0,130.7762451171875
30-08-2002,192.5,192.5,34428040.0,207.5,205.0,141.1007080078125
02-09-2002,206.5,209.0,27393272.0,219.0,216.5,149.01608276367188
03-09-2002,207.5,212.5,16736712.0,214.0,210.5,144.8863067626953
04-09-2002,204.5,206.0,34410656.0,219.5,214.5,147.6395263671875
05-09-2002,209.5,213.5,25078180.0,216.5,212.0,145.91876220703125
06-09-2002,205.5,208.0,37903588.0,215.0,211.0,145.23048400878906
09-09-2002,210.0,211.0,13429172.0,217.5,214.5,147.6395263671875
10-09-2002,214.5,214.5,0.0,214.5,214.5,147.6395263671875
11-09-2002,216.5,216.5,15246524.0,226.0,224.0,154.1783447265625
12-09-2002,222.5,231.0,14203788.0,231.0,224.5,155.564208984375
