Date,Low,Open,Volume,High,Close,Adjusted Close
19-03-2012,3.75,3.75,200.0,3.75,3.75,3.548043727874756
20-03-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
21-03-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
22-03-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
23-03-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
26-03-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
27-03-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
28-03-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
29-03-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
30-03-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
02-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
03-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
04-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
09-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
10-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
11-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
12-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
13-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
16-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
17-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
18-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
19-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
20-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
23-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
24-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
25-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
26-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
27-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
30-04-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
02-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
03-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
04-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
07-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
08-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
09-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
10-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
11-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
14-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
15-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
16-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
17-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
18-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
21-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
22-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
23-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
24-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
25-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
28-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
29-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
30-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
31-05-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
01-06-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
04-06-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
05-06-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
06-06-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
07-06-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
08-06-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
11-06-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
12-06-2012,3.75,3.75,0.0,3.75,3.75,3.548043727874756
13-06-2012,4.5,4.5,10.0,4.5,4.5,4.257652282714844
14-06-2012,4.5,4.5,0.0,4.5,4.5,4.257652282714844
15-06-2012,4.5,4.5,0.0,4.5,4.5,4.257652282714844
18-06-2012,4.5,4.5,0.0,4.5,4.5,4.257652282714844
19-06-2012,4.5,4.5,0.0,4.5,4.5,4.257652282714844
20-06-2012,4.5,4.5,0.0,4.5,4.5,4.257652282714844
21-06-2012,4.5,4.5,0.0,4.5,4.5,4.257652282714844
22-06-2012,4.5,4.5,0.0,4.5,4.5,4.257652282714844
25-06-2012,4.5,4.5,0.0,4.5,4.5,4.257652282714844
26-06-2012,4.5,4.5,0.0,4.5,4.5,4.257652282714844
27-06-2012,4.5,4.5,0.0,4.5,4.5,4.257652282714844
28-06-2012,4.5,4.5,0.0,4.5,4.5,4.257652282714844
29-06-2012,4.5,4.5,0.0,4.5,4.5,4.257652282714844
02-07-2012,4.5,4.5,0.0,4.5,4.5,4.257652282714844
03-07-2012,4.5,4.5,0.0,4.5,4.5,4.257652282714844
04-07-2012,4.5,4.5,0.0,4.5,4.5,4.257652282714844
05-07-2012,4.5,4.5,0.0,4.5,4.5,4.257652282714844
06-07-2012,4.5,4.5,0.0,4.5,4.5,4.257652282714844
09-07-2012,4.724999904632568,4.724999904632568,5250.0,4.724999904632568,4.724999904632568,4.4705352783203125
10-07-2012,4.724999904632568,4.724999904632568,0.0,4.724999904632568,4.724999904632568,4.4705352783203125
11-07-2012,4.724999904632568,4.724999904632568,0.0,4.724999904632568,4.724999904632568,4.4705352783203125
12-07-2012,4.960000038146973,4.960000038146973,1000.0,4.960000038146973,4.960000038146973,4.692880153656006
13-07-2012,5.204999923706055,5.204999923706055,4000.0,5.204999923706055,5.204999923706055,4.924684524536133
16-07-2012,5.204999923706055,5.204999923706055,0.0,5.204999923706055,5.204999923706055,4.924684524536133
17-07-2012,5.204999923706055,5.204999923706055,0.0,5.204999923706055,5.204999923706055,4.924684524536133
18-07-2012,5.204999923706055,5.204999923706055,0.0,5.204999923706055,5.204999923706055,4.924684524536133
19-07-2012,5.204999923706055,5.204999923706055,0.0,5.204999923706055,5.204999923706055,4.924684524536133
20-07-2012,5.204999923706055,5.204999923706055,0.0,5.204999923706055,5.204999923706055,4.924684524536133
23-07-2012,5.204999923706055,5.204999923706055,0.0,5.204999923706055,5.204999923706055,4.924684524536133
24-07-2012,5.204999923706055,5.204999923706055,0.0,5.204999923706055,5.204999923706055,4.924684524536133
25-07-2012,5.465000152587891,5.465000152587891,500.0,5.465000152587891,5.465000152587891,5.170682907104492
26-07-2012,5.465000152587891,5.465000152587891,0.0,5.465000152587891,5.465000152587891,5.170682907104492
27-07-2012,5.465000152587891,5.465000152587891,0.0,5.465000152587891,5.465000152587891,5.170682907104492
30-07-2012,5.465000152587891,5.465000152587891,0.0,5.465000152587891,5.465000152587891,5.170682907104492
31-07-2012,5.465000152587891,5.465000152587891,0.0,5.465000152587891,5.465000152587891,5.170682907104492
01-08-2012,5.465000152587891,5.465000152587891,0.0,5.465000152587891,5.465000152587891,5.170682907104492
02-08-2012,5.465000152587891,5.465000152587891,0.0,5.465000152587891,5.465000152587891,5.170682907104492
03-08-2012,5.465000152587891,5.465000152587891,0.0,5.465000152587891,5.465000152587891,5.170682907104492
06-08-2012,5.465000152587891,5.465000152587891,0.0,5.465000152587891,5.465000152587891,5.170682907104492
07-08-2012,5.465000152587891,5.465000152587891,0.0,5.465000152587891,5.465000152587891,5.170682907104492
08-08-2012,5.465000152587891,5.465000152587891,0.0,5.465000152587891,5.465000152587891,5.170682907104492
09-08-2012,5.465000152587891,5.465000152587891,0.0,5.465000152587891,5.465000152587891,5.170682907104492
10-08-2012,5.465000152587891,5.465000152587891,0.0,5.465000152587891,5.465000152587891,5.170682907104492
13-08-2012,5.465000152587891,5.465000152587891,0.0,5.465000152587891,5.465000152587891,5.170682907104492
14-08-2012,5.465000152587891,5.465000152587891,0.0,5.465000152587891,5.465000152587891,5.170682907104492
16-08-2012,5.735000133514404,5.735000133514404,1000.0,5.735000133514404,5.735000133514404,5.426141738891602
17-08-2012,5.735000133514404,5.735000133514404,0.0,5.735000133514404,5.735000133514404,5.426141738891602
21-08-2012,5.735000133514404,5.735000133514404,0.0,5.735000133514404,5.735000133514404,5.426141738891602
22-08-2012,5.735000133514404,5.735000133514404,0.0,5.735000133514404,5.735000133514404,5.426141738891602
23-08-2012,5.735000133514404,5.735000133514404,0.0,5.735000133514404,5.735000133514404,5.426141738891602
24-08-2012,5.735000133514404,5.735000133514404,0.0,5.735000133514404,5.735000133514404,5.426141738891602
27-08-2012,5.735000133514404,5.735000133514404,0.0,5.735000133514404,5.735000133514404,5.426141738891602
28-08-2012,5.735000133514404,5.735000133514404,0.0,5.735000133514404,5.735000133514404,5.426141738891602
29-08-2012,6.019999980926514,6.019999980926514,1000.0,6.019999980926514,6.019999980926514,5.695793628692627
30-08-2012,6.019999980926514,6.019999980926514,0.0,6.019999980926514,6.019999980926514,5.695793628692627
31-08-2012,6.019999980926514,6.019999980926514,0.0,6.019999980926514,6.019999980926514,5.695793628692627
03-09-2012,6.019999980926514,6.019999980926514,0.0,6.019999980926514,6.019999980926514,5.695793628692627
04-09-2012,6.019999980926514,6.019999980926514,0.0,6.019999980926514,6.019999980926514,5.695793628692627
05-09-2012,6.019999980926514,6.019999980926514,0.0,6.019999980926514,6.019999980926514,5.695793628692627
06-09-2012,6.019999980926514,6.019999980926514,0.0,6.019999980926514,6.019999980926514,5.695793628692627
07-09-2012,6.019999980926514,6.019999980926514,0.0,6.019999980926514,6.019999980926514,5.695793628692627
08-09-2012,,,,,,
10-09-2012,6.019999980926514,6.019999980926514,0.0,6.019999980926514,6.019999980926514,5.695793628692627
11-09-2012,6.019999980926514,6.019999980926514,0.0,6.019999980926514,6.019999980926514,5.695793628692627
12-09-2012,6.019999980926514,6.019999980926514,0.0,6.019999980926514,6.019999980926514,5.695793628692627
13-09-2012,6.019999980926514,6.019999980926514,0.0,6.019999980926514,6.019999980926514,5.695793628692627
14-09-2012,6.019999980926514,6.019999980926514,0.0,6.019999980926514,6.019999980926514,5.695793628692627
17-09-2012,6.019999980926514,6.019999980926514,0.0,6.019999980926514,6.019999980926514,5.695793628692627
18-09-2012,6.019999980926514,6.019999980926514,0.0,6.019999980926514,6.019999980926514,5.695793628692627
20-09-2012,6.019999980926514,6.019999980926514,0.0,6.019999980926514,6.019999980926514,5.695793628692627
21-09-2012,6.005000114440918,6.005000114440918,500.0,6.005000114440918,6.005000114440918,5.681601524353027
24-09-2012,6.005000114440918,6.005000114440918,0.0,6.005000114440918,6.005000114440918,5.681601524353027
25-09-2012,6.005000114440918,6.005000114440918,0.0,6.005000114440918,6.005000114440918,5.681601524353027
26-09-2012,6.005000114440918,6.005000114440918,0.0,6.005000114440918,6.005000114440918,5.681601524353027
27-09-2012,6.005000114440918,6.005000114440918,0.0,6.005000114440918,6.005000114440918,5.681601524353027
28-09-2012,6.0,6.0,5250.0,6.0,6.0,5.676870822906494
01-10-2012,6.0,6.0,0.0,6.0,6.0,5.676870822906494
03-10-2012,6.0,6.0,0.0,6.0,6.0,5.676870822906494
04-10-2012,6.0,6.0,0.0,6.0,6.0,5.676870822906494
05-10-2012,6.0,6.0,0.0,6.0,6.0,5.676870822906494
08-10-2012,6.0,6.0,0.0,6.0,6.0,5.676870822906494
09-10-2012,6.0,6.0,0.0,6.0,6.0,5.676870822906494
10-10-2012,6.0,6.0,0.0,6.0,6.0,5.676870822906494
11-10-2012,6.0,6.0,0.0,6.0,6.0,5.676870822906494
12-10-2012,6.0,6.0,0.0,6.0,6.0,5.676870822906494
15-10-2012,6.0,6.0,0.0,6.0,6.0,5.676870822906494
16-10-2012,6.0,6.0,0.0,6.0,6.0,5.676870822906494
17-10-2012,6.0,6.0,0.0,6.0,6.0,5.676870822906494
18-10-2012,6.300000190734863,6.300000190734863,300.0,6.300000190734863,6.300000190734863,5.960714340209961
19-10-2012,6.300000190734863,6.300000190734863,0.0,6.300000190734863,6.300000190734863,5.960714340209961
22-10-2012,6.300000190734863,6.300000190734863,0.0,6.300000190734863,6.300000190734863,5.960714340209961
23-10-2012,6.300000190734863,6.300000190734863,0.0,6.300000190734863,6.300000190734863,5.960714340209961
25-10-2012,6.300000190734863,6.300000190734863,0.0,6.300000190734863,6.300000190734863,5.960714340209961
29-10-2012,6.300000190734863,6.300000190734863,0.0,6.300000190734863,6.300000190734863,5.960714340209961
30-10-2012,6.300000190734863,6.300000190734863,0.0,6.300000190734863,6.300000190734863,5.960714340209961
31-10-2012,6.300000190734863,6.300000190734863,0.0,6.300000190734863,6.300000190734863,5.960714340209961
01-11-2012,6.300000190734863,6.300000190734863,0.0,6.300000190734863,6.300000190734863,5.960714340209961
02-11-2012,6.300000190734863,6.300000190734863,0.0,6.300000190734863,6.300000190734863,5.960714340209961
05-11-2012,6.300000190734863,6.300000190734863,0.0,6.300000190734863,6.300000190734863,5.960714340209961
06-11-2012,6.300000190734863,6.300000190734863,0.0,6.300000190734863,6.300000190734863,5.960714340209961
07-11-2012,6.300000190734863,6.300000190734863,0.0,6.300000190734863,6.300000190734863,5.960714340209961
08-11-2012,6.300000190734863,6.300000190734863,0.0,6.300000190734863,6.300000190734863,5.960714340209961
09-11-2012,6.300000190734863,6.300000190734863,0.0,6.300000190734863,6.300000190734863,5.960714340209961
11-11-2012,,,,,,
12-11-2012,6.300000190734863,6.300000190734863,0.0,6.300000190734863,6.300000190734863,5.960714340209961
