Date,Low,Open,Volume,High,Close,Adjusted Close
13-11-2017,358.70001220703125,375.0,5078766,375.0,363.54998779296875,352.7674560546875
14-11-2017,347.5,360.0,664182,366.0,350.875,340.4684143066406
15-11-2017,339.67498779296875,349.5,458956,350.0,341.3500061035156,331.2259216308594
16-11-2017,339.04998779296875,346.0,660364,351.92498779296875,340.92498779296875,330.8135070800781
17-11-2017,336.6000061035156,342.75,347482,345.0,337.7749938964844,327.7569274902344
20-11-2017,333.54998779296875,337.3999938964844,239420,340.0,334.1000061035156,324.19091796875
21-11-2017,332.5,332.5,355378,340.0,333.5249938964844,323.6329650878906
22-11-2017,331.5,333.5249938964844,190580,335.95001220703125,332.4750061035156,322.6141357421875
23-11-2017,325.1000061035156,332.5,234080,332.95001220703125,325.95001220703125,316.28265380859375
24-11-2017,324.0,326.5,182944,327.5249938964844,324.2749938964844,314.6573181152344
27-11-2017,318.75,322.6499938964844,176280,324.9750061035156,319.32501220703125,309.8541259765625
28-11-2017,318.0249938964844,318.75,239474,324.1000061035156,319.07501220703125,309.611572265625
29-11-2017,316.67498779296875,318.5249938964844,189044,324.5,319.5,310.02392578125
30-11-2017,316.125,319.95001220703125,218034,324.0,316.6499938964844,307.25848388671875
01-12-2017,309.25,318.3999938964844,193758,318.45001220703125,309.8999938964844,300.70867919921875
04-12-2017,300.07501220703125,310.5,245962,311.6499938964844,301.45001220703125,292.5093078613281
05-12-2017,295.75,300.07501220703125,143258,301.4750061035156,296.0,287.220947265625
06-12-2017,291.125,295.8500061035156,160868,297.3999938964844,292.17498779296875,283.5093688964844
07-12-2017,290.0,291.0,189026,295.0,290.25,281.6414794921875
08-12-2017,290.25,290.25,234000,294.7250061035156,291.5,282.8544006347656
11-12-2017,289.0,292.5,150710,294.0,290.04998779296875,281.4473876953125
12-12-2017,287.92498779296875,291.9750061035156,93082,291.9750061035156,288.375,279.82208251953125
13-12-2017,280.2749938964844,289.25,204046,289.95001220703125,280.67498779296875,272.3504638671875
14-12-2017,275.57501220703125,281.25,181022,283.75,275.8999938964844,267.71710205078125
15-12-2017,272.5249938964844,277.9750061035156,205092,278.7250061035156,273.125,265.0243835449219
18-12-2017,266.54998779296875,274.70001220703125,384480,284.3999938964844,282.625,274.24261474609375
19-12-2017,284.42498779296875,284.45001220703125,573956,300.5,297.92498779296875,289.0888366699219
20-12-2017,300.0,300.0,449248,308.5,307.54998779296875,298.4283447265625
21-12-2017,303.04998779296875,309.04998779296875,203496,310.5,308.7749938964844,299.6170349121094
22-12-2017,304.0,308.5,131650,309.25,307.25,298.13726806640625
26-12-2017,304.5,307.92498779296875,83562,308.1499938964844,306.375,297.2882080078125
27-12-2017,299.2749938964844,305.0,83016,306.375,300.17498779296875,291.2720947265625
28-12-2017,296.2250061035156,300.0,90312,302.5,299.8500061035156,290.9567565917969
29-12-2017,296.0,297.57501220703125,107424,306.0,300.54998779296875,291.635986328125
01-01-2018,303.92498779296875,303.92498779296875,90820,308.8999938964844,305.29998779296875,296.2450866699219
02-01-2018,301.5,307.7250061035156,91190,308.7250061035156,307.4750061035156,298.3556213378906
03-01-2018,306.0,309.0,111044,311.95001220703125,310.57501220703125,301.3636779785156
04-01-2018,308.2749938964844,308.6000061035156,93164,313.0,312.2749938964844,303.0132141113281
05-01-2018,310.5,310.5,65372,313.5,312.625,303.3528747558594
08-01-2018,312.6000061035156,313.8999938964844,98018,315.5,313.79998779296875,304.49298095703125
09-01-2018,312.6000061035156,313.625,68970,316.4750061035156,316.125,306.7490539550781
10-01-2018,312.625,316.5,32116,317.0,313.57501220703125,304.27471923828125
11-01-2018,312.5,313.5,43466,316.5,315.6499938964844,306.2881164550781
12-01-2018,310.6000061035156,316.3999938964844,43218,316.3999938964844,311.375,302.13995361328125
15-01-2018,309.79998779296875,311.375,41132,312.625,310.125,300.9269714355469
16-01-2018,305.5249938964844,310.07501220703125,34700,311.6499938964844,305.95001220703125,296.8758544921875
17-01-2018,301.5,303.57501220703125,99108,308.0,306.9750061035156,297.87042236328125
18-01-2018,303.125,308.8999938964844,64870,310.42498779296875,304.54998779296875,295.517333984375
19-01-2018,302.5,304.5,28224,305.9750061035156,303.25,294.25592041015625
22-01-2018,302.5,304.5,59960,309.5,308.875,299.71405029296875
23-01-2018,308.1499938964844,309.5,2212548,310.67498779296875,310.1499938964844,300.95123291015625
24-01-2018,310.0,311.20001220703125,97384,313.0,312.2749938964844,303.0132141113281
25-01-2018,307.7749938964844,307.7749938964844,171546,320.9750061035156,317.3500061035156,307.9377136230469
29-01-2018,315.25,316.625,935222,322.5,320.0249938964844,310.53338623046875
30-01-2018,312.2749938964844,320.0,96148,321.5,319.875,310.3878173828125
31-01-2018,315.57501220703125,317.5,48410,319.5,318.57501220703125,309.12640380859375
